Offence,Latitude,Longitude
Robbery,47.61133751,-122.3238971
Theft,47.66221425,-122.3184088
Sex Crime,0.0,0.0
Robbery,47.61351951,-122.3207714
Theft,47.63299911,-122.3422824
Public Nuisance,47.7086028,-122.3246152
Theft,47.5159918,-122.2593616
Public Nuisance,47.60203767,-122.329191
Public Nuisance,47.60217535,-122.3076595
Theft,47.66138572,-122.3399095
Theft,47.72776861,-122.345027
Theft,47.60469505,-122.3362384
Public Nuisance,47.66944627,-122.3805052
Theft,47.60310245,-122.3181018
Theft,47.53696508,-122.2645983
Drugs,47.60334108,-122.328861
Theft,47.61289269,-122.2898335
Public Nuisance,47.60129045,-122.3263524
Theft,47.544672,-122.3744241
Theft,47.61206556,-122.3413225
Theft,47.66431736,-122.2982247
Fraud,47.67017748,-122.3805083
Fraud,47.62776746,-122.3086302
Theft,47.72586925,-122.3262126
Fraud,47.68777624,-122.3331331
Theft,47.66503856,-122.3673986
Theft,47.68776532,-122.3310298
Theft,47.58868133,-122.3849942
Public Nuisance,47.67417226,-122.3655795
Fraud,47.54970791,-122.3723141
Gun Violence,47.59749957,-122.3172267
Theft,47.54102078,-122.3595959
Theft,47.61764314,-122.3398449
Fraud,47.61748617,-122.3366066
Fraud,47.56616436,-122.3694505
Public Nuisance,47.53803809,-122.3935229
Theft,47.64940239,-122.3897585
Fraud,47.61351951,-122.3207714
Theft,47.61337517,-122.346513
Fraud,47.55059186,-122.3123242
Theft,47.62454524,-122.3364793
Fraud,47.59835485,-122.3270173
Fraud,47.61655803,-122.3320674
Theft,47.60469505,-122.3362384
Public Nuisance,47.65048622,-122.3332812
Theft,47.59031253,-122.3355687
Theft,47.56203576,-122.3781123
Theft,47.70506663,-122.350439
Theft,47.63434575,-122.3467084
Theft,47.54586222,-122.3004653
Theft,47.66602881,-122.3184261
Public Nuisance,47.66838788,-122.273741
Public Nuisance,47.67165303,-122.3942648
Theft,47.72321155,-122.3449769
Theft,47.64343028,-122.3037981
Theft,47.62747889,-122.3167908
Fraud,47.61903867,-122.3278538
Fraud,47.68736239,-122.2741406
Theft,47.55059186,-122.3123242
Public Nuisance,47.59828765,-122.3315808
Theft,47.71327157,-122.3608783
Public Nuisance,47.61711857,-122.3381372
Theft,47.7086028,-122.3246152
Theft,47.66212687,-122.336426
Theft,47.6935203,-122.3620056
Theft,47.61207057,-122.3322441
Theft,47.56281944,-122.2883704
Theft,47.56281944,-122.2883704
Fraud,47.62024434,-122.3304204
Theft,47.5586471,-122.2821021
Theft,47.62635868,-122.3534247
Public Nuisance,47.69873276,-122.3512552
Theft,47.64689712,-122.3607352
Public Nuisance,47.60088279,-122.3338526
Theft,47.66400406,-122.3142241
Theft,47.60622921,-122.3361079
Fraud,47.69421686,-122.3553395
Theft,47.69421686,-122.3553395
Theft,47.58878256,-122.3290483
Theft,47.58878256,-122.3290483
Theft,47.6308944,-122.3618048
Theft,47.61605329,-122.3361655
Theft,47.61382604,-122.3346168
Theft,47.7086028,-122.3246152
Theft,47.61432034,-122.3441436
Theft,47.69367379,-122.3768007
Theft,47.60519799,-122.3244231
Theft,47.59123749,-122.2929037
Theft,47.66789134,-122.3762157
Fraud,47.63936189,-122.3448151
Theft,47.57182077,-122.4014557
Theft,47.67152891,-122.343687
Theft,47.61216878,-122.3369385
Theft,47.5502913,-122.3863603
Theft,47.56653965,-122.3622588
Fraud,47.65125414,-122.3825477
Theft,47.64254112,-122.3848626
Theft,47.5970607,-122.3063634
Theft,47.61337517,-122.346513
Theft,47.66219941,-122.3174511
Theft,47.62624866,-122.3540814
Public Nuisance,47.60981959,-122.3263468
Theft,47.55286517,-122.3749438
Theft,47.60214897,-122.3341768
Theft,47.52011424,-122.3564799
Theft,47.64633864,-122.3607393
Fraud,47.72961987,-122.3582498
Public Nuisance,47.67756433,-122.3239119
Public Nuisance,47.63812079,-122.3942285
Theft,47.60882096,-122.3400134
Theft,47.60951366,-122.2988502
Theft,47.6632366,-122.3539716
Theft,47.6353476,-122.3716721
Fraud,47.52611725,-122.2790134
Theft,47.53933802,-122.2780673
Theft,47.6068322,-122.315466
Theft,47.67017314,-122.3775481
Theft,47.56888116,-122.289922
Theft,47.69421686,-122.3553395
Theft,47.56888116,-122.289922
Traffic Law,47.58636268,-122.3133628
Theft,47.66569311,-122.3673974
Theft,47.67017143,-122.3762131
Theft,47.68086876,-122.3181058
Public Nuisance,47.66218058,-122.3131157
Public Nuisance,47.59918733,-122.320332
Public Nuisance,47.59793449,-122.3263655
Theft,47.61407001,-122.3234015
Robbery,47.55093975,-122.3259904
Drugs,47.55093975,-122.3259904
Robbery,47.61266535,-122.3373936
Fraud,47.59919177,-122.3257079
Theft,47.62375649,-122.3126151
Theft,47.61163943,-122.3349184
Theft,47.70858578,-122.3219184
Fraud,47.51728498,-122.3422384
Theft,47.53641053,-122.3873068
Fraud,47.58085339,-122.3351248
Fraud,47.66944627,-122.3805052
Theft,47.69312432,-122.3216748
Theft,47.54381503,-122.2737411
Robbery,47.53307444,-122.2921061
Theft,47.61586644,-122.3142517
Others,47.60922844,-122.3171138
Robbery,47.62106633,-122.3222249
Robbery,47.60309549,-122.3141936
