,precinct,total,Theft,Others,Accident,Murder,Fraud,Robbery,Public Nuisance,Assault,Arson,Drugs,Missing,Sex Crime,Gun Violence
211,0607,81,7.0,52.0,6.0,,,,11.0,5.0,,,,,
212,0701,50,7.0,30.0,4.0,,,,6.0,3.0,,,,,
213,0609,42,3.0,28.0,2.0,3.0,1.0,,3.0,1.0,1.0,,,,
214,0707,148,19.0,71.0,5.0,,,3.0,17.0,24.0,,8.0,,1.0,
215,0703,73,8.0,36.0,5.0,3.0,1.0,2.0,11.0,7.0,,,,,
216,0308,1412,118.0,617.0,50.0,6.0,24.0,228.0,90.0,164.0,8.0,104.0,3.0,,
217,0801,1353,543.0,334.0,38.0,3.0,85.0,24.0,211.0,89.0,1.0,2.0,23.0,,
218,0601,1242,303.0,370.0,55.0,3.0,59.0,28.0,218.0,115.0,6.0,76.0,9.0,,
219,0305,452,39.0,273.0,20.0,5.0,6.0,24.0,20.0,56.0,,5.0,3.0,1.0,
220,0201,130,15.0,73.0,17.0,,2.0,8.0,11.0,3.0,1.0,,,,
221,0108,130,14.0,73.0,9.0,3.0,,4.0,15.0,12.0,,,,,
222,0103,223,26.0,125.0,10.0,5.0,2.0,10.0,14.0,26.0,2.0,,3.0,,
223,0106,186,15.0,83.0,10.0,2.0,5.0,39.0,11.0,21.0,,,,,
224,0109,90,12.0,46.0,12.0,1.0,2.0,2.0,10.0,4.0,,,1.0,,
225,0107,112,10.0,70.0,8.0,,,4.0,10.0,8.0,,2.0,,,
226,0101,67,6.0,45.0,3.0,,,2.0,7.0,3.0,1.0,,,,
227,0114,91,1.0,54.0,12.0,1.0,1.0,1.0,7.0,9.0,3.0,,2.0,,
228,0112,79,6.0,37.0,14.0,2.0,1.0,5.0,6.0,8.0,,,,,
229,0511,91,15.0,34.0,4.0,,,18.0,15.0,4.0,1.0,,,,
230,0505,54,12.0,23.0,5.0,,1.0,2.0,7.0,4.0,,,,,
231,0110,124,12.0,54.0,19.0,2.0,1.0,1.0,21.0,13.0,1.0,,,,
232,0111,113,7.0,55.0,22.0,1.0,,4.0,15.0,6.0,2.0,1.0,,,
233,1004,118,9.0,54.0,10.0,3.0,3.0,2.0,13.0,19.0,1.0,,4.0,,
234,0802,617,56.0,314.0,32.0,6.0,7.0,26.0,40.0,96.0,3.0,35.0,2.0,,
235,2011,14,2.0,11.0,,,,,1.0,,,,,,
236,2008,30,,17.0,7.0,1.0,,,1.0,3.0,,1.0,,,
237,0410,116,13.0,52.0,19.0,,3.0,3.0,17.0,9.0,,,,,
238,0407,237,31.0,93.0,5.0,1.0,2.0,66.0,6.0,27.0,1.0,1.0,4.0,,
239,1008,132,9.0,71.0,11.0,,4.0,1.0,23.0,11.0,,2.0,,,
240,0301,173,19.0,95.0,9.0,2.0,3.0,8.0,20.0,16.0,,,1.0,,
241,0507,127,15.0,61.0,6.0,2.0,,18.0,14.0,9.0,1.0,,1.0,,
242,0508,132,17.0,61.0,6.0,,1.0,31.0,7.0,8.0,1.0,,,,
243,0506,136,22.0,62.0,12.0,,2.0,19.0,12.0,5.0,1.0,,1.0,,
244,0509,287,53.0,84.0,22.0,,6.0,79.0,23.0,17.0,,2.0,1.0,,
245,1812,76,4.0,53.0,11.0,,,2.0,1.0,3.0,,1.0,1.0,,
246,1823,114,4.0,63.0,1.0,1.0,2.0,5.0,11.0,20.0,1.0,1.0,5.0,,
247,2003,113,10.0,64.0,9.0,1.0,3.0,3.0,6.0,14.0,,1.0,2.0,,
248,1816,96,5.0,76.0,3.0,1.0,,,7.0,4.0,,,,,
249,1817,71,3.0,43.0,3.0,1.0,2.0,5.0,4.0,5.0,,,5.0,,
250,1818,898,190.0,296.0,40.0,3.0,56.0,21.0,148.0,109.0,1.0,4.0,30.0,,
251,0502A,273,29.0,154.0,5.0,2.0,5.0,29.0,18.0,27.0,2.0,1.0,1.0,,
252,0115,0,,,,,,,,,,,,,
253,0104,678,148.0,240.0,18.0,2.0,64.0,13.0,84.0,97.0,1.0,4.0,7.0,,
254,2002,94,11.0,38.0,12.0,1.0,,7.0,12.0,10.0,,2.0,1.0,,
