Offence,Latitude,Longitude
Others,42.30971857,-71.10429432
Others,42.30645148,-71.07730382
Public Nuisance,42.28671244,-71.08947258
Others,42.25572956,-71.12484898
Others,42.31451479,-71.0947082
Others,42.339675,-71.0829325
Others,42.33528037,-71.0987126
Accident,42.30022551,-71.07468313
Others,42.2544451,-71.12242761
Robbery,42.35512339,-71.0608798
Others,42.28402797,-71.06479205
Others,42.32743066,-71.05690362
Theft,42.36183857,-71.05976489
Drugs,42.310434,-71.0613401
Drugs,42.310434,-71.0613401
Others,42.31143758,-71.10926363
Drugs,42.310434,-71.0613401
Theft,42.34740588,-71.13532566
Robbery,42.37620267,-71.03979926
Others,42.36631992,-71.05208484
Others,42.32155857,-71.06132071
Theft,42.284459,-71.08930698
Assault,42.34877575,-71.09606805
Others,42.3548,-71.06265004
Others,42.32348444,-71.10813006
Others,42.33056977,-71.09959089
Others,42.349056,-71.1504985
Assault,42.31701002,-71.06508995
Others,42.35182446,-71.13313369
Others,42.32857096,-71.056922
Accident,42.31296901,-71.05721
Theft,42.29755533,-71.0597091
Drugs,42.34261701,-71.15384798
Public Nuisance,42.32306313,-71.07709875
Others,42.3232004,-71.09508128
Theft,42.30573977,-71.06762362
Robbery,42.34840576,-71.08688339
Others,42.3078206,-71.06336696
Theft,42.34489594,-71.09659186
Public Nuisance,42.33954199,-71.06940877
Public Nuisance,42.29908734,-71.08652243
Assault,42.25943465,-71.14798064
Arson,42.34999733,-71.0810344
Fraud,42.33954199,-71.06940877
Assault,42.28709355,-71.14822128
Others,42.30971857,-71.10429432
Others,42.31847226,-71.08409289
Fraud,42.26956689,-71.09075049
Others,42.37010622,-71.03261984
Others,42.29833262,-71.10768964
Theft,42.27837129,-71.16850569
Theft,42.29755533,-71.0597091
Public Nuisance,42.29819201,-71.066275
Public Nuisance,42.28709355,-71.14822128
Theft,42.29755533,-71.0597091
Others,42.3353741,-71.0783156
Assault,42.3523119,-71.0637051
Others,42.31362799,-71.09560307
Assault,42.3523119,-71.0637051
Public Nuisance,42.25621592,-71.12401947
